Year,Global_Price_USD_per_tonne,Global_Price_TND_per_liter,Estimated_Local_Price_TND_per_liter,Yearly_production(1000Tonne),Yearly_Exports,Yearly_Imports,Tunisia_Production_Min,Tunisia_Production_Max,Tunisia_Consumption,Italy_Production_Min,Italy_Production_Max,Italy_Consumption,Spain_Production_Min,Spain_Production_Max,Spain_Consumption,Tunisia_Surplus,Italy_Deficit,Spain_Deficit,EU_Import_Demand,Market_Tension,Export_Ratio,Local_Price_Premium,Domestic_Market_Pressure
2010,,,,,,,110,140.0,80.0,548.0,,660.0,1370.0,1400.0,550.0,30.0,112.0,-820.0,-708.0,-23.6,59.392770005,,0.03322259136212624
2011,,,,,,,120,,21.599999999999998,477.0,500.0,660.0,,,,98.4,183.0,,183.0,1.8597560975609755,59.392770005,,0.01015228426395939
2012,,,,,,,100,140.0,18.0,,,,1420.0,1480.0,,82.0,,,0.0,0.0,59.392770005,,0.01218026796589525
2013,,,,,,,220,260.0,35.0,273.0,415.5,590.0,820.0,1520.0,425.0,185.0,317.0,-395.0,-78.0,-0.42162162162162165,59.392770005,,0.005402485143165856
2014,,,,,,,280,330.0,30.0,450.0,500.0,695.0,1360.0,1580.0,,250.0,245.0,,245.0,0.98,59.392770005,,0.003998400639744102
2015,4292.834858061812,7.077786601673716,5.75,1700.0,7684995384.0,1658898.0,320,350.0,57.599999999999994,300.0,343.0,,1260.0,1400.0,,262.4,,,0.0,0.0,24.015610575,0.812400871006802,0.0038095238095238095
2016,3978.4662626978443,7.28830355707008,8.0,700.0,7685665718.0,12978872.0,100,140.0,18.0,182.0,243.0,,,1280.0,,82.0,,,0.0,0.0,76.85665718,1.0976491219605602,0.01218026796589525
2017,4529.796771969692,8.713222215121139,9.0,500.0,8437997027.0,6589306.0,100,140.0,35.0,429.0,486.0,,,1250.0,,65.0,,,0.0,0.0,84.37997027,1.0329129428584043,0.015360983102918589
2018,3911.728989359189,7.882649510497203,8.8,1617.0,8720385729.0,1730654.0,240,300.0,43.199999999999996,270.0,,557.0,1350.0,,,196.8,287.0,,287.0,1.4583333333333333,36.3349405375,1.1163759074003197,0.005078720162519045
2019,3166.333453321795,6.670605586165322,5.599999999999999,700.0,7378381590.0,2751791.0,120,350.0,33.6,365.0,,589.0,,,604.0,86.4,224.0,,224.0,2.5925925925925926,61.48651325,0.839503989205158,0.011560693641618497
2020,2628.3420388550244,5.777951612336324,11.0,2000.0,7917069343.0,1245341.0,340,440.0,61.199999999999996,250.0,365.0,408.0,1380.0,1400.0,541.0,278.8,158.0,-839.0,-681.0,-2.4426111908177903,23.285498067647058,1.9037888750252328,0.003585514521333811
2021,4184.763091017794,9.58278319704736,11.0,700.0,8821532012.0,1538275.0,140,,25.2,270.0,279.5,419.0,1150.0,1490.0,521.0,114.8,149.0,-629.0,-480.0,-4.181184668989547,63.01094294285714,1.1478919822989746,0.008703220191470845
2022,4469.885162617659,10.645118272487876,11.0,1200.0,10316547666.0,1169022.0,180,340.0,32.4,329.0,,482.0,666.0,1600.0,,147.6,153.0,,153.0,1.0365853658536586,57.3141537,1.0333375091218395,0.006770480704129994
2023,7709.617522335754,19.066780836377283,15.0,700.0,11878554001.0,4752652.0,200,217.0,36.0,240.0,288.9,486.0,660.0,850.0,363.0,164.0,246.0,-297.0,-51.0,-0.31097560975609756,59.392770005,0.7867085759637872,0.006093845216331505
2024,,,,,,,220,,39.6,300.0,328.5,,760.0,850.0,402.0,180.4,,-358.0,-358.0,-1.9844789356984478,59.392770005,,0.00554016620498615
